ApprovalID,ReportID,StepOrder,StepName,ApproverID,ApproverName,Decision,DecisionTimestamp,Comment,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
APR-1,00033643-ab3c-4c37-a7ac-ac88400f7ff1,1.0,Manager,manager_bdd640fb@example.com,Daniel Doyle,APPROVE,2024-05-05T23:00:00,,C002,2024-11-30,GBP,ITEM-1,CC300,400000,JNL-READ,SA,50,PC01,3270.26,Foot industry fund best body story newspaper.,3270.26,0.0,2025,2024-09-25,1.1079,C,2025-01-18,SAP,TRAVEL,CORP_LEDGER
APR-2,00033643-ab3c-4c37-a7ac-ac88400f7ff1,2.0,Finance,finance_8b9d2434@example.com,Javier Johnson,APPROVE,2024-05-08T13:00:00,,C002,2025-02-12,USD,ITEM-2,CC100,500000,JNL-OVER,DR,40,PC03,4930.7,Half expect evidence professional modern.,0.0,4930.7,2025,2025-06-17,1.4529,M,2024-09-19,SAP,EXPENSE,CORP_LEDGER
APR-3,00033643-ab3c-4c37-a7ac-ac88400f7ff1,3.0,Finance_Recon,finance_9a1de644@example.com,Cristian Santos,APPROVE,2024-05-10T13:00:00,Finance reconciliation completed,C002,2025-03-13,GBP,ITEM-3,CC300,500000,JNL-AGENCY,KR,40,PC02,1841.33,Rather plan within return listen sign.,1841.33,0.0,2025,2024-10-04,0.732,C,2025-07-31,CONCUR,EXPENSE,APAC_LEDGER
APR-4,00041e7d-3095-4452-b3cf-cbe430cedb3b,1.0,Manager,manager_72ff5d2a@example.com,Rhonda Smith,APPROVE,2025-09-13T00:00:00,,C002,2024-12-07,USD,ITEM-4,CC200,400000,JNL-PURPOSE,DR,50,PC02,3015.61,Person choice public side here.,0.0,3015.61,2025,2025-06-11,1.2724,C,2025-01-26,WORKDAY,PURCHASE,APAC_LEDGER
APR-5,00041e7d-3095-4452-b3cf-cbe430cedb3b,2.0,Finance,finance_6c307511@example.com,Christopher Bernard,APPROVE,2025-09-18T10:00:00,,C003,2024-10-08,USD,ITEM-5,CC200,600000,JNL-TWO,DR,50,PC02,4719.18,Consumer before room guy administration act our.,4719.18,0.0,2025,2025-06-28,0.744,M,2024-10-18,WORKDAY,TRAVEL,APAC_LEDGER
APR-6,00041e7d-3095-4452-b3cf-cbe430cedb3b,3.0,Finance_Recon,finance_6142ea7d@example.com,Ryan Munoz,APPROVE,2025-09-21T23:00:00,Finance reconciliation completed,C002,2025-01-29,INR,ITEM-6,CC200,600000,JNL-ONE,SA,50,PC03,20.19,Church game section politics instead.,0.0,20.19,2025,2025-04-15,1.2804,B,2025-02-14,SAP,TRAVEL,APAC_LEDGER
APR-7,000edf84-9318-49aa-93b1-5870e69aad3e,1.0,Manager,manager_759cde66@example.com,Valerie Gray,APPROVE,2024-10-03T08:00:00,,C002,2025-08-30,USD,ITEM-7,CC200,400000,JNL-ORGANIZATION,KR,50,PC01,4939.69,Coach past will structure rest director represent.,4939.69,0.0,2025,2025-04-02,1.193,M,2024-11-13,WORKDAY,PURCHASE,APAC_LEDGER
APR-8,000edf84-9318-49aa-93b1-5870e69aad3e,2.0,Finance_Recon,finance_a0ee89ae@example.com,Shannon Ray,APPROVE,2024-10-04T09:00:00,Finance reconciliation completed,C003,2024-11-30,GBP,ITEM-8,CC300,500000,JNL-MAY,KR,50,PC02,3598.45,Road month PM.,0.0,3598.45,2025,2025-06-26,0.9068,B,2025-01-30,WORKDAY,PURCHASE,APAC_LEDGER
APR-9,00127864-9b52-4b54-a514-410693d9a4dc,1.0,Manager,manager_a9488d99@example.com,Dylan Miller,APPROVE,2025-09-08T08:00:00,,C002,2025-07-12,EUR,ITEM-9,CC200,600000,JNL-IT,SA,40,PC02,2607.99,Science third when while somebody public herself.,2607.99,0.0,2025,2025-01-21,1.4056,B,2025-04-17,CONCUR,EXPENSE,CORP_LEDGER
APR-10,00127864-9b52-4b54-a514-410693d9a4dc,2.0,Finance,finance_614ff3d7@example.com,Mark Diaz,APPROVE,2025-09-09T08:00:00,,C002,2024-10-17,GBP,ITEM-10,CC300,600000,JNL-MONTH,SA,50,PC02,395.39,Personal inside low somebody government management ask.,0.0,395.39,2025,2024-12-22,0.9455,C,2024-09-26,CONCUR,PURCHASE,CORP_LEDGER
APR-11,00127864-9b52-4b54-a514-410693d9a4dc,3.0,Finance_Recon,finance_ab9099a4@example.com,Timothy Wong,APPROVE,2025-09-12T07:00:00,Finance reconciliation completed,C001,2024-11-24,USD,ITEM-11,CC200,400000,JNL-COLLEGE,KR,50,PC01,1556.32,Former sound give while onto goal.,1556.32,0.0,2025,2025-09-11,1.0117,B,2024-10-06,WORKDAY,EXPENSE,APAC_LEDGER
APR-12,001e2e66-effa-4265-81e8-563fc01e0fa1,1.0,Manager,manager_88bd6407@example.com,Carla Gray,APPROVE,2024-07-17T23:00:00,,C002,2025-08-22,USD,ITEM-12,CC300,600000,JNL-WATCH,KR,40,PC02,3374.59,Responsibility third machine girl player.,0.0,3374.59,2025,2024-12-10,1.3099,M,2024-09-20,WORKDAY,PURCHASE,APAC_LEDGER
APR-13,001e2e66-effa-4265-81e8-563fc01e0fa1,2.0,Finance,finance_b02b61c4@example.com,Melinda Cameron,APPROVE,2024-07-21T09:00:00,,C001,2025-02-16,EUR,ITEM-13,CC200,400000,JNL-USE,SA,50,PC01,1468.66,Child check music couple table.,1468.66,0.0,2025,2024-11-10,1.2659,C,2025-03-13,WORKDAY,EXPENSE,CORP_LEDGER
APR-14,001e2e66-effa-4265-81e8-563fc01e0fa1,3.0,Finance_Recon,finance_d261a7ab@example.com,Ethan Adams,APPROVE,2024-07-25T02:00:00,Finance reconciliation completed,C003,2025-09-04,EUR,ITEM-14,CC100,500000,JNL-FAR,SA,40,PC01,3748.33,Natural news school second.,0.0,3748.33,2025,2025-01-08,1.3047,M,2024-10-26,CONCUR,EXPENSE,APAC_LEDGER
APR-15,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,1.0,Manager,manager_9132b63e@example.com,Emily Rios,APPROVE,2023-12-12T02:00:00,,C002,2025-08-16,USD,ITEM-15,CC200,600000,JNL-WHOSE,KR,40,PC03,121.09,Or task local attack artist over.,121.09,0.0,2025,2025-08-10,1.2718,B,2024-11-26,SAP,EXPENSE,APAC_LEDGER
APR-16,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,2.0,Finance,finance_a491f0b2@example.com,Derek Wright,REJECT,2023-12-14T19:00:00,,C001,2025-01-03,GBP,ITEM-16,CC300,600000,JNL-COMMERCIAL,KR,40,PC01,4615.57,Write production yourself work summer skin.,0.0,4615.57,2025,2025-09-02,1.0589,B,2025-08-15,WORKDAY,EXPENSE,CORP_LEDGER
