ID,ReportID,ReportOwnerID,TransactionDate,TransactionAmount,TransactionCurrencyCode,ExchangeRate,PostedAmount,ExpenseTypeCode,ExpenseTypeName,VendorDescription,Description,HasImage,HasItemizations,HasAttendees,IsPersonal,IsBillable,LocationCountry,LocationName,PaymentTypeID,LastModified,URI,TaxReceiptType,SpendCategoryCode,Custom1,Custom2,OrgUnit1,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
10308eb9-4947-4681-a363-cf1e5fee83a3,cb997cc9-7d6d-453b-88f7-8801f873db4e,johnsonjoshua@example.org,7/3/2025,42.39,INR,0.9003,31.58,ET02,Hotel,Doyle Ltd,Beautiful instead ahead despite measure ago current.,True,True,False,True,False,IN,Robinsonshire,CompanyCard,2025-07-11T21:45:52Z,/expense/entries/10308eb9-4947-4681-a363-cf1e5fee83a3,T,SC006,fall,,OU4,C003,2025-08-01,EUR,ITEM-1,CC100,400000,JNL-PURPOSE,DR,40,PC03,3934.24,Style child young prove care author.,3934.24,0.0,2025,2025-05-15,B,2025-02-06,WORKDAY,EXPENSE,CORP_LEDGER
b8355858-f5cd-4a7b-9cd3-560c973b816b,16aaa7f6-9771-41fe-9306-3e5f7fe83a04,blakeerik@example.com,7/14/2025,632.18,GBP,0.8827,688.63,ET09,Phone,Ramirez-Lewis,Bill here grow gas enough analysis.,True,False,False,False,True,GB,Herrerafurt,CorporateCard,2025-10-08T21:45:52Z,/expense/entries/b8355858-f5cd-4a7b-9cd3-560c973b816b,T,SC006,,,,C001,2025-04-03,INR,ITEM-2,CC300,600000,JNL-BROTHER,KR,50,PC02,2579.79,Century those price.,0.0,2579.79,2025,2025-03-18,M,2024-11-13,SAP,TRAVEL,APAC_LEDGER
9f4fd9fd-e0e4-4bd9-8624-3005296002f7,5b5a367b-89bf-4b7e-83b7-b4c92c60b3fd,arnoldmaria@example.net,6/14/2024,1095.95,AUD,1.4944,684.75,ET01,Airfare,Ray-Bush,Product significant world.,False,False,False,True,False,AU,Port Craig,CorporateCard,2024-12-11T21:45:52Z,/expense/entries/9f4fd9fd-e0e4-4bd9-8624-3005296002f7,T,SC003,,,,C001,2025-09-05,EUR,ITEM-3,CC300,600000,JNL-AGO,SA,40,PC01,4590.31,Be politics indeed lay.,4590.31,0.0,2025,2025-04-23,B,2025-03-09,WORKDAY,TRAVEL,CORP_LEDGER
042b61a8-6231-419a-94aa-ff3e32398714,e2f280b6-a995-4838-af13-464f7d0a14e8,shawn52@example.com,5/13/2024,573.29,GBP,1.0152,651.09,ET02,Hotel,Clark-Adams,Participant commercial rock clear.,False,False,False,False,False,FR,Nelsonside,Cash,2024-10-15T21:45:52Z,/expense/entries/042b61a8-6231-419a-94aa-ff3e32398714,N,SC011,,,,C003,2025-04-26,GBP,ITEM-4,CC200,500000,JNL-SITE,SA,40,PC01,1579.27,Us perhaps lawyer interest star his difficult interesting.,0.0,1579.27,2025,2025-01-25,B,2025-01-08,CONCUR,EXPENSE,APAC_LEDGER
e8cf55c5-eaaa-490c-b48c-4860a5f4e168,61173d04-d2f0-45ef-86a8-0b1666dbf33b,gabriellecameron@example.org,6/20/2024,333.32,INR,1.4934,447.62,ET09,Phone,Underwood LLC,Environment decision wall then fire pretty.,True,False,False,False,True,FR,Wilkersonmouth,Cash,2024-08-13T21:45:52Z,/expense/entries/e8cf55c5-eaaa-490c-b48c-4860a5f4e168,N,SC046,,,,C002,2024-10-05,GBP,ITEM-5,CC100,500000,JNL-FACE,SA,40,PC01,3265.93,Official suggest door.,3265.93,0.0,2025,2025-02-26,M,2025-03-18,WORKDAY,TRAVEL,APAC_LEDGER
8518fe6c-8033-4aee-8e35-93e5d14e0838,2710d8a0-a08c-41d9-a1b6-e16c37625b44,josephwright@example.net,7/7/2025,218.59,EUR,0.8414,163.2,ET08,Parking,"Baker, Richards and Hurst",Gun young catch management sense technology.,False,True,False,True,False,SG,Lake Ernest,CompanyCard,2025-10-07T21:45:52Z,/expense/entries/8518fe6c-8033-4aee-8e35-93e5d14e0838,T,SC009,,response,OU2,C001,2024-10-05,USD,ITEM-6,CC100,500000,JNL-ELECTION,DR,50,PC03,4474.96,Especially unit office almost also low happy.,0.0,4474.96,2025,2025-03-14,M,2025-03-07,CONCUR,TRAVEL,APAC_LEDGER
1cf67fed-82f7-4866-865a-0db350413155,27d1ef79-9ff0-459f-b208-16fbabe62246,ycarlson@example.com,2/21/2024,1189.16,GBP,1.3172,1303.8,ET03,Meals,"Ferrell, Rice and Maddox",Quite boy those.,False,False,False,True,True,US,Kaylamouth,Cash,2024-08-13T21:45:52Z,/expense/entries/1cf67fed-82f7-4866-865a-0db350413155,N,SC049,brother,,OU7,C001,2025-07-18,EUR,ITEM-7,CC200,600000,JNL-DOG,SA,40,PC01,4977.43,Loss real center rule worker worker single let.,4977.43,0.0,2025,2024-12-18,M,2025-02-26,SAP,EXPENSE,CORP_LEDGER
73dbfdef-5f6c-47f1-ae9e-6f3a3376f684,69eb8a3f-c62a-4c63-801b-c4825cd3273b,ryan70@example.net,2/26/2024,9.85,CAD,1.1931,13.55,ET08,Parking,"Baker, Mason and White",That fear police participant.,False,True,True,True,False,FR,West Kathryn,CorporateCard,2024-04-05T21:45:52Z,/expense/entries/73dbfdef-5f6c-47f1-ae9e-6f3a3376f684,R,SC049,notice,,,C001,2025-03-01,USD,ITEM-8,CC100,500000,JNL-CHAIR,SA,50,PC02,3402.92,Model particular early piece.,0.0,3402.92,2025,2025-04-30,B,2025-05-29,CONCUR,EXPENSE,APAC_LEDGER
16bb2905-507b-40f0-b290-204baa61cb8e,52a8ae34-3950-4c55-b16b-b27998fde511,georgetracy@example.org,9/18/2023,489.61,USD,1.0488,489.61,ET10,Other,Koch-Decker,Dream drive note bad rule.,True,False,False,False,False,DE,Port Amandaberg,Cash,2023-10-09T21:45:52Z,/expense/entries/16bb2905-507b-40f0-b290-204baa61cb8e,N,SC032,,,,C003,2025-03-11,GBP,ITEM-9,CC300,500000,JNL-SINCE,SA,50,PC02,2618.69,Range much often party.,2618.69,0.0,2025,2024-12-18,B,2024-09-24,CONCUR,EXPENSE,APAC_LEDGER
0e76bc93-79fb-4dfa-94a6-2dc1ea12d928,85ca948f-2752-4640-83c2-fcee9197c395,donnaarroyo@example.org,1/24/2024,991.33,AUD,1.3153,659.33,ET03,Meals,Rose-Obrien,Up sense ready require human.,False,True,False,False,False,DE,Samuelhaven,PersonalCard,2024-05-05T21:45:52Z,/expense/entries/0e76bc93-79fb-4dfa-94a6-2dc1ea12d928,N,SC042,,,,C001,2024-11-20,USD,ITEM-10,CC200,500000,JNL-BLUE,KR,50,PC01,3560.73,Movement action law town off former.,0.0,3560.73,2025,2024-09-28,B,2025-01-29,SAP,PURCHASE,APAC_LEDGER
e93327af-0095-4003-89b4-753a0f873412,f05bb039-7e24-4b5a-b3b7-91cb66925915,omartinez@example.org,5/28/2024,100.72,USD,1.0184,100.72,ET04,Taxi,Smith-Spencer,Detail audience piece director town teacher audience draw.,False,True,True,True,False,US,Lewisberg,Cash,2024-11-05T21:45:52Z,/expense/entries/e93327af-0095-4003-89b4-753a0f873412,T,SC015,several,worry,,C003,2025-07-26,GBP,ITEM-11,CC300,400000,JNL-REQUIRE,KR,50,PC01,1807.49,Whether sometimes eye along type see.,1807.49,0.0,2025,2024-12-09,C,2025-02-28,SAP,EXPENSE,CORP_LEDGER
1baaa888-8c3d-4a21-91e7-bf193c162d7c,5e74fb22-8bf6-4f23-b715-0377e348cd1d,esanchez@example.com,2/25/2025,421.32,GBP,1.2982,300.91,ET04,Taxi,Davis Ltd,Great in tell approach president position.,True,True,False,False,True,SG,South Jessicaville,CorporateCard,2025-03-21T21:45:52Z,/expense/entries/1baaa888-8c3d-4a21-91e7-bf193c162d7c,T,SC043,,,,C003,2025-04-06,INR,ITEM-12,CC300,400000,JNL-SIT,SA,50,PC01,3544.99,Employee picture official of prevent factor say.,0.0,3544.99,2025,2025-04-06,C,2025-05-21,CONCUR,EXPENSE,APAC_LEDGER
90ed0d26-548a-4333-bbf6-da5c6db17f50,c2bf7334-ad3a-4942-8279-d85680d175aa,jamesherrera@example.org,11/12/2023,95.62,CAD,1.3053,80.25,ET02,Hotel,White-Ford,Kitchen technology nearly anything.,True,False,True,False,False,CA,North Sarabury,CorporateCard,2024-02-28T21:45:52Z,/expense/entries/90ed0d26-548a-4333-bbf6-da5c6db17f50,T,SC018,,,OU9,C003,2025-07-02,INR,ITEM-13,CC200,400000,JNL-WAIT,SA,40,PC02,1272.9,Expert bar measure.,1272.9,0.0,2025,2025-04-18,B,2025-01-31,CONCUR,PURCHASE,APAC_LEDGER
5a219a3a-d972-4c06-ab5d-05855969b6b3,713d0bcf-cad6-4a21-a23f-e8e0ab93ec70,richardolson@example.com,12/27/2023,979.96,AUD,1.2411,1309.23,ET01,Airfare,Martin Inc,Enter six lawyer institution whatever yet.,True,False,True,False,True,CA,Mooreport,CorporateCard,2024-04-07T21:45:52Z,/expense/entries/5a219a3a-d972-4c06-ab5d-05855969b6b3,T,SC011,,,,C001,2025-09-04,GBP,ITEM-14,CC100,600000,JNL-OFFER,KR,50,PC01,3606.85,Edge past every either scientist.,0.0,3606.85,2025,2024-09-21,M,2025-06-08,WORKDAY,EXPENSE,APAC_LEDGER
b98189b2-2128-4e17-901e-40d73daf1954,ddbb9cdb-a5a4-48ba-ad35-ce701ed24707,tanyariley@example.net,12/26/2024,637.4,CAD,1.136,953.17,ET05,Mileage,Adkins Inc,Once me system.,False,True,False,False,False,FR,North Susan,CorporateCard,2025-01-09T21:45:52Z,/expense/entries/b98189b2-2128-4e17-901e-40d73daf1954,N,SC048,,,OU10,C003,2025-08-08,USD,ITEM-15,CC200,600000,JNL-BEGIN,SA,50,PC03,276.9,Company option character land space end red machine.,276.9,0.0,2025,2025-01-27,M,2025-06-11,CONCUR,PURCHASE,APAC_LEDGER
6a894f5d-42a5-44ba-bd87-4f451c4e65ed,3d8f656c-c56e-4418-8b21-51eb24bfa605,yorkcasey@example.org,1/18/2025,1379.48,AUD,1.0575,906.87,ET09,Phone,"Hensley, Powell and David",East organization people information on mission various.,False,False,True,False,False,IN,Lake Jennifer,CorporateCard,2025-05-01T21:45:52Z,/expense/entries/6a894f5d-42a5-44ba-bd87-4f451c4e65ed,T,SC037,edge,,,C002,2025-01-26,GBP,ITEM-16,CC300,500000,JNL-PERFORMANCE,DR,40,PC03,1507.54,Television garden base certain value child many.,0.0,1507.54,2025,2025-02-21,C,2025-03-31,WORKDAY,PURCHASE,CORP_LEDGER
f80f8627-f20b-4487-870a-467f5a2509ba,fd95db2e-cd2c-469d-a57b-ecb98339ef78,randy47@example.com,11/20/2024,850.01,INR,1.2486,1219.51,ET10,Other,Smith PLC,You available defense enter value thing these.,True,True,False,False,True,SG,Justinmouth,CorporateCard,2025-05-10T21:45:52Z,/expense/entries/f80f8627-f20b-4487-870a-467f5a2509ba,N,SC020,,,,C001,2024-09-21,GBP,ITEM-17,CC100,400000,JNL-KNOWLEDGE,KR,40,PC01,2953.52,Side draw key point decision same.,2953.52,0.0,2025,2025-06-19,B,2025-05-12,SAP,TRAVEL,APAC_LEDGER
e3b0a720-18f7-4ec4-bcde-8139798ef763,271024ce-750c-41af-b10e-a7e28f495992,cheryl80@example.net,9/27/2023,933.63,AUD,1.1169,1396.8,ET08,Parking,"Evans, Alvarado and Mcmillan",Enough threat score choice.,True,True,True,True,True,GB,Cassandramouth,PersonalCard,2023-10-14T21:45:52Z,/expense/entries/e3b0a720-18f7-4ec4-bcde-8139798ef763,T,SC024,Democrat,,,C001,2024-10-16,GBP,ITEM-18,CC300,400000,JNL-ALMOST,DR,40,PC03,2513.46,Approach enough standard apply less live.,0.0,2513.46,2025,2025-09-18,B,2025-01-23,SAP,EXPENSE,APAC_LEDGER
d3c91124-4773-49a7-b477-49fb86a648ee,2ad617f6-82a7-4aca-aa9a-f5276d2e514f,william40@example.org,7/23/2024,1475.86,SGD,0.7193,1703.14,ET10,Other,"Henderson, Hill and Smith",Pm energy scientist necessary.,True,True,False,True,False,GB,Hoffmanville,PersonalCard,2024-08-21T21:45:52Z,/expense/entries/d3c91124-4773-49a7-b477-49fb86a648ee,T,SC048,,,,C001,2025-01-16,GBP,ITEM-19,CC100,600000,JNL-ALL,KR,50,PC03,342.57,Second sell mouth here relationship listen certain.,342.57,0.0,2025,2025-02-13,M,2025-07-08,CONCUR,TRAVEL,APAC_LEDGER
979484de-61b3-4f8e-9b5c-a6cc6efb7722,944d4ba9-3563-4e7c-a3d1-55051b1ec24e,landryhannah@example.org,9/3/2024,1032.81,SGD,1.1297,789.07,ET04,Taxi,"Johnson, Wood and Tran",Camera final together someone team together.,False,False,False,False,False,SG,Lake John,PersonalCard,2024-09-14T21:45:52Z,/expense/entries/979484de-61b3-4f8e-9b5c-a6cc6efb7722,T,SC022,,,,C001,2025-01-29,USD,ITEM-20,CC100,500000,JNL-BETTER,KR,40,PC01,1085.37,Activity until large question which raise.,0.0,1085.37,2025,2024-12-02,B,2025-04-29,WORKDAY,EXPENSE,CORP_LEDGER
