ID,URI,Name,OwnerLoginID,OwnerName,CreateDate,SubmitDate,LastModifiedDate,CurrencyCode,TotalTransactionAmount,TotalPostedAmount,TotalApprovedAmount,AmountDueEmployee,ApprovalStatus,ApprovalDate,PaymentStatus,PaidDate,ReceiptsReceived,HasImage,HasAttendees,HasBillableExpenses,NumberOfEntries,Purpose,WorkflowActionUrl,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
00033643-ab3c-4c37-a7ac-ac88400f7ff1,/expense/reports/00033643-ab3c-4c37-a7ac-ac88400f7ff1,Enhance Global Platforms - New Roberttown,aaron49@example.org,Allison Hill,2024-04-25T00:00:00,2024-05-05T00:00:00,2024-05-08T00:00:00,SGD,877.16,907.86,117.47,129.2,SUBMITTED,,NOT_PAID,,True,True,True,False,1,Despite measure ago current.,https://workflow.example.com/reports/00033643-ab3c-4c37-a7ac-ac88400f7ff1,C003,2025-06-15,EUR,ITEM-1,CC300,500000,JNL-GAS,SA,40,PC03,1675.48,Anything what know hour almost step.,1675.48,0.0,2025,2024-12-25,1.4202,B,2025-05-26,SAP,PURCHASE,CORP_LEDGER
00041e7d-3095-4452-b3cf-cbe430cedb3b,/expense/reports/00041e7d-3095-4452-b3cf-cbe430cedb3b,Benchmark Efficient Synergies - Lake Roberto,jameshudson@example.com,Kimberly Robinson,2025-09-03T00:00:00,2025-09-13T00:00:00,2025-10-06T00:00:00,USD,1055.79,1055.79,267.28,6.29,RESUBMITTED,,NOT_PAID,,True,True,False,False,1,Choice whatever from behavior benefit.,https://workflow.example.com/reports/00041e7d-3095-4452-b3cf-cbe430cedb3b,C002,2025-08-28,EUR,ITEM-2,CC100,500000,JNL-PERSON,DR,40,PC03,864.33,Foreign decade their exactly keep space.,0.0,864.33,2025,2025-07-31,1.2729,B,2025-02-03,SAP,PURCHASE,CORP_LEDGER
000edf84-9318-49aa-93b1-5870e69aad3e,/expense/reports/000edf84-9318-49aa-93b1-5870e69aad3e,Drive Ubiquitous Users - South Christianport,diana24@example.com,Lindsey Roman,2024-09-26T00:00:00,2024-09-29T00:00:00,2024-10-06T00:00:00,EUR,642.22,630.34,623.98,90.08,APPROVED,2024-10-02T00:00:00,NOT_PAID,,False,False,False,False,1,Peace technology officer relate animal direction eye bag.,https://workflow.example.com/reports/000edf84-9318-49aa-93b1-5870e69aad3e,C001,2025-04-07,USD,ITEM-3,CC300,400000,JNL-MOST,DR,50,PC01,3603.58,Wish might stock.,3603.58,0.0,2025,2025-05-27,1.355,M,2024-09-23,WORKDAY,TRAVEL,CORP_LEDGER
00127864-9b52-4b54-a514-410693d9a4dc,/expense/reports/00127864-9b52-4b54-a514-410693d9a4dc,Whiteboard Bricks-And-Clicks Communities - Michaelview,jallen@example.org,Brian Ramirez,2025-08-31T00:00:00,2025-09-06T00:00:00,2025-09-13T00:00:00,SGD,747.01,526.12,728.99,23.85,APPROVED,2025-09-06T00:00:00,NOT_PAID,,False,False,False,False,1,Participant commercial rock clear.,https://workflow.example.com/reports/00127864-9b52-4b54-a514-410693d9a4dc,C001,2025-02-10,EUR,ITEM-4,CC100,500000,JNL-TRAVEL,KR,50,PC02,3444.07,Water cover avoid life issue street take chance.,0.0,3444.07,2025,2025-09-08,1.4469,C,2025-02-07,SAP,PURCHASE,APAC_LEDGER
001e2e66-effa-4265-81e8-563fc01e0fa1,/expense/reports/001e2e66-effa-4265-81e8-563fc01e0fa1,Engage Magnetic Methodologies - Meganton,iclark@example.net,William Bowman,2024-07-11T00:00:00,2024-07-17T00:00:00,2024-07-27T00:00:00,CAD,368.64,375.09,335.54,28.01,APPROVED,2024-07-22T00:00:00,NOT_PAID,,True,True,False,True,1,Start source husband at tree.,https://workflow.example.com/reports/001e2e66-effa-4265-81e8-563fc01e0fa1,C003,2024-12-19,USD,ITEM-5,CC300,400000,JNL-COLD,KR,40,PC02,1012.83,Around pull Republican perhaps.,1012.83,0.0,2025,2024-11-30,0.7309,M,2024-11-15,CONCUR,TRAVEL,APAC_LEDGER
001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,/expense/reports/001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,Synthesize Impactful Experiences - Thomasberg,atkinsonjacqueline@example.net,Michelle Lewis,2023-12-02T00:00:00,2023-12-07T00:00:00,2024-01-03T00:00:00,USD,507.26,507.26,493.55,54.4,APPROVED,2023-12-07T00:00:00,NOT_PAID,,False,False,True,False,1,Seat much section investment on.,https://workflow.example.com/reports/001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,C002,2025-02-26,USD,ITEM-6,CC300,600000,JNL-CHAIR,SA,50,PC01,2650.36,Structure officer great billion air close.,0.0,2650.36,2025,2025-07-02,0.7659,C,2025-03-31,CONCUR,PURCHASE,APAC_LEDGER
0027f2ca-eecf-41d6-95ac-6affca75d32a,/expense/reports/0027f2ca-eecf-41d6-95ac-6affca75d32a,Synthesize E-Business Markets - East Courtneychester,alexandraturner@example.com,Zachary Taylor,2025-01-13T00:00:00,2025-01-27T00:00:00,2025-02-08T00:00:00,SGD,789.9,1033.82,297.94,139.88,SUBMITTED,,NOT_PAID,,False,False,True,False,1,As high you more wife team activity result.,https://workflow.example.com/reports/0027f2ca-eecf-41d6-95ac-6affca75d32a,C001,2025-07-21,INR,ITEM-7,CC200,600000,JNL-WHOLE,DR,50,PC02,4220.75,Difference study back customer eye boy again.,4220.75,0.0,2025,2025-08-01,0.7793,C,2024-12-05,WORKDAY,EXPENSE,CORP_LEDGER
003570ea-6c3f-49c0-aa19-53d339d03ea6,/expense/reports/003570ea-6c3f-49c0-aa19-53d339d03ea6,Visualize Cross-Platform Initiatives - Ryanmouth,jonesryan@example.net,Kimberly Adams,2024-11-03T00:00:00,2024-11-08T00:00:00,2024-11-26T00:00:00,INR,626.18,713.78,248.44,96.82,SUBMITTED,,NOT_PAID,,True,True,False,True,1,West then enjoy.,https://workflow.example.com/reports/003570ea-6c3f-49c0-aa19-53d339d03ea6,C002,2025-03-03,INR,ITEM-8,CC300,400000,JNL-TEAM,SA,50,PC02,4390.07,After sign share week sort form.,0.0,4390.07,2025,2025-07-03,1.2925,B,2025-01-10,CONCUR,TRAVEL,CORP_LEDGER
00381332-ec62-4f74-9d55-30a311dba80f,/expense/reports/00381332-ec62-4f74-9d55-30a311dba80f,Cultivate Seamless Functionalities - East Nathaniel,stevengray@example.net,Cassandra Gaines,2023-10-10T00:00:00,2023-10-11T00:00:00,2023-11-07T00:00:00,EUR,41.41,56.31,39.15,6.91,APPROVED,2023-10-15T00:00:00,NOT_PAID,,False,False,True,True,1,Much single morning a.,https://workflow.example.com/reports/00381332-ec62-4f74-9d55-30a311dba80f,C001,2025-04-19,GBP,ITEM-9,CC200,600000,JNL-BED,SA,50,PC03,72.94,Somebody lead single item task five.,72.94,0.0,2025,2025-02-08,0.9095,C,2025-05-08,SAP,TRAVEL,CORP_LEDGER
0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,/expense/reports/0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,Matrix Extensible Action-Items - East Natalieland,watsonpaul@example.net,Alec Hickman,2024-04-25T00:00:00,2024-04-27T00:00:00,2024-05-08T00:00:00,USD,313.12,313.12,301.69,33.45,APPROVED,2024-04-28T00:00:00,PAID,2024-05-17T00:00:00,False,False,False,False,1,Rule staff within mouth.,https://workflow.example.com/reports/0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,C001,2025-04-30,INR,ITEM-10,CC300,600000,JNL-MYSELF,SA,50,PC03,347.82,Single tough both class many.,0.0,347.82,2025,2024-12-13,1.1264,C,2025-09-03,SAP,PURCHASE,CORP_LEDGER
